"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","egovframework.common","src/main/java/egovframework/common/InitServletContextListener.java","3","25","RULE#29: Uncommented Empty Method Body finds instances","pmd-eclipse","UncommentedEmptyMethodBody"
"2","egovframework.common","src/main/java/egovframework/common/InitServletContextListener.java","3","25","RULE#29: Uncommented Empty Method Body finds instances","pmd-eclipse","UncommentedEmptyMethodBody"
"3","egovframework.controller","src/main/java/egovframework/controller/AdminBannerController.java","3","28","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"4","egovframework.controller","src/main/java/egovframework/controller/AdminBannerController.java","3","28","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"5","egovframework.controller","src/main/java/egovframework/controller/AdminBannerController.java","3","29","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"6","egovframework.controller","src/main/java/egovframework/controller/AdminBannerController.java","3","29","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"7","egovframework.controller","src/main/java/egovframework/controller/AdminBoardController.java","3","47","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"8","egovframework.controller","src/main/java/egovframework/controller/AdminBoardController.java","3","47","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"9","egovframework.controller","src/main/java/egovframework/controller/AdminBoardMgrController.java","3","38","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"10","egovframework.controller","src/main/java/egovframework/controller/AdminBoardMgrController.java","3","38","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"11","egovframework.controller","src/main/java/egovframework/controller/AdminBoardMgrController.java","3","40","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"12","egovframework.controller","src/main/java/egovframework/controller/AdminBoardMgrController.java","3","40","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"13","egovframework.controller","src/main/java/egovframework/controller/AdminContentsController.java","3","42","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
"14","egovframework.controller","src/main/java/egovframework/controller/AdminContentsController.java","3","42","RULE#19: change to static final field","pmd-eclipse","FinalFieldCouldBeStatic"
